00   0 34475762 33555896 35395628 12.7 12.4 13.1 13466544 12979586 13953502 18.9 18.2 19.6  8922935  8511476  9334394 17.5 16.7 18.3  38885  38507  39263 4038584 3752962 4324206 20.8 19.4 22.3 United States                                 US
02 240     1102      840     1365 19.1 14.6 23.7      488      342      634 24.5 17.1 31.8      372      243      501 24.0 15.7 32.3  34969  30681  39234                                        Southeast Fairbanks Census Area               AK
02 261      952      735     1169  9.4  7.3 11.6      372      267      476 12.8  9.2 16.4      260      173      347 11.8  7.9 15.7  51525  46979  56046                                        Valdez-Cordova Census Area                    AK
02 270     2658     2008     3307 37.5 28.3 46.7     1246      871     1621 35.8 25.0 46.6     1009      655     1363 41.3 26.8 55.8  19827  15093  24535                                        Wade Hampton Census Area                      AK
02 280      692      534      849 10.2  7.9 12.5      280      203      358 13.5  9.7 17.2      206      138      274 13.1  8.7 17.4  44721  40861  48561                                        Wrangell-Petersburg Census Area               AK
02 282       59       39       79  7.9  5.2 10.6       28       18       38 11.4  7.4 15.4       28       18       38 14.5  9.1 20.0  45199  41281  49094                                        Yakutat Borough                               AK
02 290     1408     1073     1744 22.5 17.2 27.9      581      402      759 23.4 16.2 30.6      477      309      645 25.2 16.3 34.1  27623  23659  31566                                        Yukon-Koyukuk Census Area                     AK
04   0   710652   664872   756432 14.9 14.0 15.9   306865   274944   338786 22.6 20.3 25.0   197568   170735   224401 21.5 18.6 24.4  37281  35629  38933   98350   82034  114667 24.8 20.7 29.0 Arizona                                       AZ
04   1    26760    20873    32646 38.9 30.3 47.4    12369     9310    15428 43.4 32.7 54.2     9383     6844    11922 45.2 32.9 57.4  21283  18136  24412                                        Apache County                                 AZ
04   3    23235    18490    27980 21.3 17.0 25.7    10021     7737    12305 30.7 23.7 37.7     7120     5314     8926 31.2 23.3 39.1  31443  28558  34312                                        Cochise County                                AZ
04   5    21711    17180    26243 19.8 15.6 23.9     9339     7175    11502 25.3 19.4 31.1     6710     4981     8439 25.5 18.9 32.1  34939  31878  37983                                        Coconino County                               AZ
04   7    10209     7974    12444 20.8 16.3 25.4     4322     3222     5421 33.1 24.7 41.5     3072     2220     3924 32.9 23.8 42.0  29299  26175  32406                                        Gila County                                   AZ
04   9     6599     5112     8087 21.7 16.8 26.5     2838     2104     3572 25.3 18.8 31.9     2333     1677     2989 28.9 20.8 37.1  29107  25997  32201                                        Graham County                                 AZ
04  11      965      738     1193 10.7  8.1 13.2      452      327      577 13.8 10.0 17.7      351      246      456 14.4 10.1 18.7  44351  41010  47674                                        Greenlee County                               AZ
